approval_date,ticker,SponsorApplicant,DrugName,ApplType,event_car_pct,post_30d_car_pct
2016-09-19,SRPT,SAREPTA THERAPS INC,EXONDYS 51,NDA,87.71,-14.21
2021-06-07,BIIB,BIOGEN INC,ADUHELM,BLA,38.3,-13.3
2019-12-12,SRPT,SAREPTA THERAPS INC,VYONDYS 53,NDA,29.54,-4.94
2017-04-11,NBIX,NEUROCRINE,INGREZZA,NDA,28.34,-1.26
2024-12-20,NVO,NOVO NORDISK INC,ALHEMO,BLA,-19.03,-8.35
2023-11-20,BAYRY,BAYER HLTHCARE,ASTEPRO ALLERGY,NDA,-18.84,-8.26
2021-10-28,ALNY,ALNYLAM PHARMS INC,GIVLAARI,NDA,-17.94,17.38
2020-02-05,BIIB,BIOGEN,TECFIDERA,NDA,17.32,5.83
2019-11-20,ALNY,ALNYLAM PHARMS INC,GIVLAARI,NDA,13.79,1.01
2018-04-16,BMY,BRISTOL MYERS SQUIBB,YERVOY,BLA,-12.83,-1.04
2018-04-16,BMY,BRISTOL MYERS SQUIBB,OPDIVO,BLA,-12.83,-1.04
2020-06-30,RARE,ULTRAGENYX PHARM INC,DOJOLVI,NDA,12.43,-12.17
2025-03-20,ALNY,ALNYLAM PHARMS INC,AMVUTTRA,NDA,12.05,-11.15
2009-03-13,MRK,MERCK,BLOCADREN,NDA,11.87,-15.88
2009-03-13,MRK,MERCK,TIMOLIDE 10-25,NDA,11.87,-15.88
2009-03-13,MRK,MERCK,COGENTIN,NDA,11.87,-15.88
2020-04-21,BIIB,BIOGEN IDEC,TYSABRI,BLA,-11.67,-3.25
2020-10-01,BAYRY,BAYER HEALTHCARE PHARMS,BETASERON,BLA,-11.65,-9.46
2025-04-08,BMY,BRISTOL MYERS SQUIBB,YERVOY,BLA,-11.51,-16.36
2025-04-08,BMY,BRISTOL MYERS SQUIBB,OPDIVO,BLA,-11.51,-16.36
